id;name;value;type
1;mobile Fish;Home Loan Account Table Computer;NUMBER
2;Savings Account alarm;Tasty Metal Bacon;DATE
3;Home Loan Account;web-readiness;DATE
4;Steel zero administration;Multi-channelled Licensed;BOOLEAN
5;Canyon HDD;Table Small Frozen Sausages Planner;LONGTEXT
6;infomediaries;Investment Account;BOOLEAN
7;copy convergence;Mayotte;NUMBER
8;connect Markets Chief;capacitor archive;DATE
9;compress South Georgia and the South Sandwich Islands;compelling mission-critical;NUMBER
10;Small;deliverables reinvent 24 hour;TEXT
